year_end,year_start,n_obs,n_quarters,coef,se,t,p,adj_r2_avg,ci_lo,ci_hi
1998,1994,14849,20,-0.007898677039117568,0.004408221510238355,-1.7918058384254112,0.07316407327207242,0.01464080344835011,-0.016538791199184742,0.0007414371209496073
1999,1995,17915,20,-0.0072608725623562,0.0038645943810593727,-1.8788187960791451,0.06026923965661424,0.007534524770853946,-0.014835477549232569,0.0003137324245201705
2000,1996,20258,20,-0.01524452638884065,0.00602418731149404,-2.5305531851166663,0.011388281805236877,0.017057548626205003,-0.027051933519368968,-0.0034371192583123322
2001,1997,20966,20,-0.022314913685113,0.006718530900602114,-3.3213977899711886,0.0008956778136954835,0.02845811100053484,-0.03548323425029314,-0.009146593119932857
2002,1998,19862,20,-0.021685350957770633,0.007120923933923975,-3.0453001828122255,0.0023244817911898252,0.02680085166256676,-0.03564236186826163,-0.007728340047279642
2003,1999,18662,20,-0.019959978592311876,0.007429966276041517,-2.6864157723937887,0.0072223154877963935,0.03235572151757023,-0.03452271249335325,-0.005397244691270503
2004,2000,17990,20,-0.021090822487875374,0.007819166629950303,-2.6973235750073052,0.006989931275234618,0.04096551924539589,-0.036416389082577966,-0.005765255893172781
2005,2001,17226,20,-0.011780554725519195,0.006043530111327424,-1.9492836981880561,0.05126155428144252,0.03426573978592422,-0.023625873743720945,6.476429268255542e-05
2006,2002,17043,20,-0.002038957963041719,0.0023559615712665932,-0.865446188897534,0.3867939388445101,0.018189031318678668,-0.006656642642724241,0.0025787267166408035
2007,2003,17063,20,-0.0001160554877058977,0.0022135758022801652,-0.05242896474850827,0.9581868953168042,0.02419718227912989,-0.004454664060175022,0.004222553084763226
2008,2004,17170,20,-0.0002587299060012125,0.0033917071143934148,-0.0762830920462555,0.9391938772376156,0.026841666662571994,-0.0069064758502123055,0.0063890160382098805
2009,2005,16387,20,-0.002356902414012393,0.0035677980750752035,-0.6606042058483687,0.508866171092238,0.028756853588772734,-0.00934978664115979,0.0046359818131350055
2010,2006,16009,20,0.0004204383412397372,0.004464478838826567,0.09417411447519464,0.9249708470274829,0.03664065729968921,-0.008329940182860335,0.009170816865339809
2011,2007,15594,20,0.00033649320700027645,0.004546734370132714,0.07400766783533357,0.9410042839448001,0.04405380089678727,-0.008575106158459841,0.009248092572460394
2012,2008,15011,20,-0.0004811046171634025,0.0041244769065272345,-0.116646214311935,0.9071404139473493,0.04360029363746847,-0.008565079353956782,0.007602870119629976
2013,2009,14450,20,-0.000209536070084682,0.0037565465007473606,-0.055778910241892396,0.9555179359713444,0.043798439257182985,-0.007572367211549509,0.007153295071380145
2014,2010,14639,20,0.0033773762593369157,0.0032427173024556217,1.0415265791992785,0.29763122409766263,0.044181760712628054,-0.0029783496534761026,0.009733102172149934
2015,2011,14526,20,0.0019413571058052434,0.0026209034346695984,0.7407205775400797,0.4588628799109076,0.04841492394747512,-0.0031956136261471696,0.007078327837757656
2016,2012,14314,20,-0.0008110716574953842,0.0033673556196183994,-0.24086308341478282,0.8096612350368182,0.054915412856572664,-0.007411088671947447,0.005788945356956678
2017,2013,14152,20,0.0020589943250625526,0.0034205836866797357,0.6019423916101174,0.5472124850054965,0.06334943534512276,-0.004645349700829729,0.008763338350954834
2018,2014,13824,20,0.002504393896983848,0.0032067355071846507,0.7809792517570547,0.4348146979033367,0.08195037961340741,-0.0037808076970980674,0.008789595491065763
2019,2015,13127,20,0.00529655594672304,0.004366205911314735,1.2130797434443858,0.22509933381920533,0.08055350033003507,-0.003261207639453841,0.01385431953289992
2020,2016,10954,19,0.002240765314594478,0.005558122405855116,0.40315148731412953,0.6868367856975695,0.07876825553314892,-0.00865315460088155,0.013134685230070506
2021,2017,8619,18,0.0057529988369799945,0.005143873599993969,1.1184176137195012,0.26338867508150043,0.06911910519023758,-0.004328993419008184,0.015834991092968174
2022,2018,5922,14,0.005921446223334031,0.007371000028925732,0.8033436711567938,0.42177612291491373,0.060772471016009987,-0.008525713833360402,0.020368606280028467
2023,2019,3458,10,0.011028098258159204,0.011599837599300654,0.9507114357207966,0.34175088140416543,0.03437389504874341,-0.011707583436470078,0.03376377995278849
2024,2020,1242,6,-0.019540298312658886,0.00771383729197382,-2.5331488820733092,0.011304292818973938,0.003161296199116722,-0.034659419404927574,-0.0044211772203901975
