year_end,year_start,n_obs,n_quarters,coef,se,t,p,adj_r2_avg,ci_lo,ci_hi
1998,1994,13452,20,-0.021283699345594195,0.006571097199857496,-3.238987142977548,0.0011995498065662247,0.01813129069619045,-0.03416304985731489,-0.008404348833873504
1999,1995,16391,20,-0.01255049401583764,0.007322355331804313,-1.7139968558101992,0.08652930331905595,0.009075201256530463,-0.026902310466174095,0.001801322434498813
2000,1996,18724,20,-0.020013860136218614,0.008026268489206467,-2.493544810160883,0.012647461925364256,0.018555166251605935,-0.03574534637506328,-0.0042823738973739416
2001,1997,19545,20,-0.02831307304332768,0.00967492521519233,-2.9264384389109552,0.003428673557574591,0.030031867977876568,-0.047275926465104645,-0.009350219621550714
2002,1998,18693,20,-0.0254636646217753,0.010192615498790988,-2.498246365203878,0.01248094205151995,0.027479906628405132,-0.045441190999405634,-0.005486138244144963
2003,1999,17734,20,-0.02179980055085968,0.010430866531598897,-2.0899318848362345,0.03662391889301442,0.03060709721906348,-0.04224429895279352,-0.0013553021489258396
2004,2000,17252,20,-0.025995921646551377,0.008482860945153988,-3.064522902665532,0.002180174809359059,0.03960994861446578,-0.0426223290990532,-0.00936951419404956
2005,2001,16665,20,-0.015421823028696548,0.007914255423522925,-1.9486132558799485,0.051341627886318575,0.032424002998615205,-0.03093376365880148,9.011760140838557e-05
2006,2002,16633,20,-0.005105159629792303,0.003036995207352027,-1.6809903477732255,0.09276478940685395,0.015644604420342073,-0.011057670236202275,0.0008473509766176697
2007,2003,16759,20,-0.003428333273872518,0.002177900119179928,-1.574146235486424,0.11545364561898208,0.02041334158155983,-0.007697017507465177,0.0008403509597201412
2008,2004,16948,20,-0.004314501475893314,0.002146455374698354,-2.010058781911382,0.04442496783967709,0.023773557635100605,-0.008521554010302088,-0.0001074489414845392
2009,2005,16220,20,-0.005000776911918334,0.0026595100480866023,-1.880337664268713,0.06006207323208046,0.02630178638526337,-0.010213416606168075,0.00021186278233140642
2010,2006,15866,20,-0.005412838438821425,0.002771970529440773,-1.952704179691777,0.050854658148505205,0.034692094618602974,-0.01084590067652534,2.0223798882489444e-05
2011,2007,15464,20,-0.003918458941367689,0.003080581041005756,-1.2719869690843715,0.20337774923566232,0.04078372219574265,-0.009956397781738971,0.0021194798990035926
2012,2008,14893,20,-0.0032260409474603223,0.0029098700490674933,-1.1086546454176365,0.26757919464841917,0.0411963421060013,-0.008929386243632608,0.0024773043487119643
2013,2009,14345,20,-0.005019161941208462,0.003150348837630704,-1.5932083079990738,0.11111346807283584,0.04150513464827695,-0.011193845662964642,0.0011555217805477172
2014,2010,14541,20,-0.0045606052947576425,0.002951897599922612,-1.5449740854415834,0.12235253176668737,0.04189056587762726,-0.01034632459060596,0.0012251140010906764
2015,2011,14442,20,-0.005525292021815401,0.002923128929773373,-1.8901978511922055,0.05873150397776672,0.0462343196504963,-0.011254624724171212,0.00020404068054040957
2016,2012,14234,20,-0.004773943964435414,0.0032846536552379882,-1.4534086285847752,0.14611033217182845,0.05424843104955805,-0.01121186512870187,0.0016639771998310428
2017,2013,14074,20,-0.003540678237082538,0.00318186498818267,-1.112768219340697,0.2658079879099817,0.06380413820881527,-0.009777133613920571,0.0026957771397554953
2018,2014,13740,20,-0.0032311612907847858,0.0037053106847390643,-0.8720351856304138,0.3831891827572891,0.0807564309527249,-0.010493570232873351,0.00403124765130378
2019,2015,13044,20,-0.0033855233132690215,0.0035175827108379167,-0.9624573440271892,0.3358199203743504,0.07523945645207472,-0.010279985426511339,0.0035089387999732956
2020,2016,10883,19,-0.004762666094716041,0.004219056315793669,-1.128846296004018,0.2589626789209296,0.07155010711822361,-0.013032016473671632,0.00350668428423955
2021,2017,8563,18,-0.004548386000630288,0.004705531843303305,-0.9666040209893257,0.3337420237159674,0.07805791665546033,-0.013771228413504765,0.004674456412244188
2022,2018,5882,14,-0.007078910260382152,0.005204006888320381,-1.3602807245066706,0.17374110569871792,0.06885117946062581,-0.0172787637614901,0.0031209432407257945
2023,2019,3437,10,-0.002845771394387475,0.006845467250855384,-0.41571616517950294,0.6776177109822108,0.0487492001481281,-0.016262887206064027,0.010571344417289078
2024,2020,1237,6,-7.87237001246676e-06,0.010062910435645764,-0.0007823154208528508,0.9993758026676935,0.03272039915469958,-0.019731176823878163,0.019715432083853228
