spec,doc_scope,subperiod,year_start,year_end,event_window,y,n_obs,n_quarters,coef,se,t,p,adj_r2_avg
IV_col2_prop,full,LM_in_sample,1994,2008,"[0,+1]",excret_01,50681,60,-0.1007937154972622,0.0685658478564073,-1.4700279898579753,0.1415541734747019,0.01846029789980146
IV_col2_prop,full,LM_in_sample,1994,2008,"[0,+3]",excret_03,50681,60,-0.2867189456762704,0.0944244410186196,-3.0364907918250967,0.0023934941927417075,0.022879481192226624
IV_col2_prop,full,LM_in_sample,1994,2008,"[0,+5]",excret_05,50681,60,-0.2705037104348069,0.1105781377958997,-2.446267551856325,0.014434384062035344,0.024247394009675727
IV_col2_prop,full,post_LM,2009,2014,"[0,+1]",excret_01,17363,24,0.14266268720073289,0.10865996481497558,1.3129277875587073,0.189207282400927,0.034213838447405664
IV_col2_prop,full,post_LM,2009,2014,"[0,+3]",excret_03,17363,24,0.13462570573667734,0.11645688701208284,1.1560132611367966,0.24767573278505162,0.04582849311965557
IV_col2_prop,full,post_LM,2009,2014,"[0,+5]",excret_05,17363,24,0.20029041815686974,0.14856423363039725,1.3481738724218004,0.17760246600658514,0.051335550923873076
IV_col2_prop,full,algo_era,2015,2019,"[0,+1]",excret_01,13127,20,0.05945297440606411,0.08275256600090651,0.718442669263124,0.4724843854023526,0.06558425937457897
IV_col2_prop,full,algo_era,2015,2019,"[0,+3]",excret_03,13127,20,0.1180493057099514,0.13093560764086326,0.9015829065668901,0.3672784746125006,0.07574632645810617
IV_col2_prop,full,algo_era,2015,2019,"[0,+5]",excret_05,13127,20,0.22450649887194887,0.11867089387407762,1.891841306177183,0.05851212791981819,0.07873088833540628
IV_col2_prop,full,covid_recent,2020,2024,"[0,+1]",excret_01,1242,6,1.1460700566672528,0.48138519673022584,2.380775446465431,0.017276239649646863,0.025847647174449633
IV_col2_prop,full,covid_recent,2020,2024,"[0,+3]",excret_03,1242,6,0.1593074260225133,0.4389201767040402,0.36295307091779655,0.7166399411508317,-0.0045889351841498964
IV_col2_prop,full,covid_recent,2020,2024,"[0,+5]",excret_05,1242,6,-0.45142777565078396,0.5037529229879728,-0.8961293424823699,0.37018368728995954,0.09531884185188196
IV_col2_prop,full,full,1994,2024,"[0,+1]",excret_01,82413,110,-0.008648011988235964,0.054685818062753765,-0.15813994001721046,0.8743465289837276,0.03079618391875292
IV_col2_prop,full,full,1994,2024,"[0,+3]",excret_03,82413,110,-0.12447111204206368,0.07422502070892113,-1.6769427728445678,0.0935536729673605,0.03773654554649782
IV_col2_prop,full,full,1994,2024,"[0,+5]",excret_05,82413,110,-0.08905849531468542,0.08472666937394153,-1.051127065099483,0.29320023507935744,0.046211696094335945
IV_col4_tfidf,full,LM_in_sample,1994,2008,"[0,+1]",excret_01,50681,60,-0.004140175585589689,0.0024965542859571037,-1.6583559223517828,0.09724564772267175,0.01992931865345585
IV_col4_tfidf,full,LM_in_sample,1994,2008,"[0,+3]",excret_03,50681,60,-0.009362420042796856,0.003393642004546184,-2.758811928381011,0.00580119109182653,0.02520666747809538
IV_col4_tfidf,full,LM_in_sample,1994,2008,"[0,+5]",excret_05,50681,60,-0.009256366215713551,0.004120237532850077,-2.246561306699878,0.024668077361061913,0.02687005493472924
IV_col4_tfidf,full,post_LM,2009,2014,"[0,+1]",excret_01,17363,24,0.0004310264962629029,0.0024955907718904728,0.17271521481720717,0.8628752838310685,0.033551896656344594
IV_col4_tfidf,full,post_LM,2009,2014,"[0,+3]",excret_03,17363,24,0.001334395530821543,0.0032638439399721563,0.40884170792581664,0.682655829728188,0.04530712986604512
IV_col4_tfidf,full,post_LM,2009,2014,"[0,+5]",excret_05,17363,24,0.0022309770144597757,0.0042891704507229626,0.520141840966878,0.6029647177101167,0.05038529789278786
IV_col4_tfidf,full,algo_era,2015,2019,"[0,+1]",excret_01,13127,20,0.0021088368384113735,0.002734847389706153,0.77109854332236,0.4406485239694362,0.06861295261991081
IV_col4_tfidf,full,algo_era,2015,2019,"[0,+3]",excret_03,13127,20,0.00529655594672304,0.004366205911314735,1.2130797434443858,0.22509933381920533,0.08055350033003507
IV_col4_tfidf,full,algo_era,2015,2019,"[0,+5]",excret_05,13127,20,0.006959916751053182,0.003533500146076323,1.9696947681696373,0.04887336296018674,0.08376703091507982
IV_col4_tfidf,full,covid_recent,2020,2024,"[0,+1]",excret_01,1242,6,-0.000232611275374862,0.004397147765866195,-0.05290049090015966,0.9578111932639399,0.02894715091345984
IV_col4_tfidf,full,covid_recent,2020,2024,"[0,+3]",excret_03,1242,6,-0.019540298312658886,0.00771383729197382,-2.5331488820733092,0.011304292818973938,0.003161296199116722
IV_col4_tfidf,full,covid_recent,2020,2024,"[0,+5]",excret_05,1242,6,-0.015356246144762081,0.007559220758775502,-2.031458881120122,0.042208466646135756,0.09663527445108226
IV_col4_tfidf,full,full,1994,2024,"[0,+1]",excret_01,82413,110,-0.001799883866832597,0.0017226549474991936,-1.0448313340088902,0.2961009302066455,0.032622731602457315
IV_col4_tfidf,full,full,1994,2024,"[0,+3]",excret_03,82413,110,-0.004448818379880425,0.0024764980037761124,-1.796415088199934,0.07242852599393346,0.04003403143688657
IV_col4_tfidf,full,full,1994,2024,"[0,+5]",excret_05,82413,110,-0.003801916927983498,0.0028749344314649445,-1.3224360480618693,0.18602299174551185,0.047793203058714984
V_col2_prop_MDA,MDA,LM_in_sample,1994,2008,"[0,+1]",excret_01,48134,60,-0.08068800987915557,0.03825977485072631,-2.1089515083130137,0.03494876749075382,0.017062411185404493
V_col2_prop_MDA,MDA,LM_in_sample,1994,2008,"[0,+3]",excret_03,48134,60,-0.21592322599214328,0.061059926840499046,-3.5362509777677706,0.000405848925343566,0.023701465034245816
V_col2_prop_MDA,MDA,LM_in_sample,1994,2008,"[0,+5]",excret_05,48134,60,-0.22996552088093009,0.07494772604725355,-3.0683455390753265,0.0021524757079849355,0.024297771826363786
V_col2_prop_MDA,MDA,post_LM,2009,2014,"[0,+1]",excret_01,17241,24,-0.04557492014267264,0.06476910968549045,-0.7036521015029842,0.4816494562613114,0.03187268346763038
V_col2_prop_MDA,MDA,post_LM,2009,2014,"[0,+3]",excret_03,17241,24,-0.05007346472308169,0.07897780655656289,-0.63401944047686,0.5260681350628005,0.04396368510933637
V_col2_prop_MDA,MDA,post_LM,2009,2014,"[0,+5]",excret_05,17241,24,0.03078924879192017,0.08506024096002252,0.36196992207429574,0.7173745072403115,0.047771195642467186
V_col2_prop_MDA,MDA,algo_era,2015,2019,"[0,+1]",excret_01,13044,20,-0.19810014476738078,0.07156651824090318,-2.76805620332887,0.005639172989120755,0.06513826832005784
V_col2_prop_MDA,MDA,algo_era,2015,2019,"[0,+3]",excret_03,13044,20,-0.15544521489924074,0.07624455145316636,-2.0387714523407463,0.041472842727972914,0.07355306458206012
V_col2_prop_MDA,MDA,algo_era,2015,2019,"[0,+5]",excret_05,13044,20,-0.19665715954551005,0.11360299948554352,-1.7310912602315183,0.08343548891155717,0.07726280278149687
V_col2_prop_MDA,MDA,covid_recent,2020,2024,"[0,+1]",excret_01,1237,6,-0.050884075807271195,0.5343927623778658,-0.0952184973105818,0.9241412780107949,0.07481866966632407
V_col2_prop_MDA,MDA,covid_recent,2020,2024,"[0,+3]",excret_03,1237,6,0.5774872666018589,0.48229968509606713,1.1973618985192407,0.23116552774716936,0.024191283464450986
V_col2_prop_MDA,MDA,covid_recent,2020,2024,"[0,+5]",excret_05,1237,6,1.0380338435449032,0.5750191408957426,1.8052161566794007,0.07104086364851447,0.1360261430197844
V_col2_prop_MDA,MDA,full,1994,2024,"[0,+1]",excret_01,79656,110,-0.08891783198018195,0.03164990438907011,-2.8094186600730646,0.004963105885120944,0.03165725147203086
V_col2_prop_MDA,MDA,full,1994,2024,"[0,+3]",excret_03,79656,110,-0.15528524445600642,0.04555339187983256,-3.4088623930714244,0.0006523437646319685,0.039337013242810095
V_col2_prop_MDA,MDA,full,1994,2024,"[0,+5]",excret_05,79656,110,-0.1448077218107622,0.05607644566736048,-2.5823270374471705,0.009813653983562709,0.04715209734558861
V_col4_tfidf_MDA,MDA,LM_in_sample,1994,2008,"[0,+1]",excret_01,48134,60,-0.006098698005029382,0.002725190440107938,-2.237897915416079,0.025227713016321207,0.017258717278267336
V_col4_tfidf_MDA,MDA,LM_in_sample,1994,2008,"[0,+3]",excret_03,48134,60,-0.015142708588641075,0.004252637740530139,-3.560780276279391,0.0003697544001532993,0.024639221653226517
V_col4_tfidf_MDA,MDA,LM_in_sample,1994,2008,"[0,+5]",excret_05,48134,60,-0.01686698915945864,0.005575483862039788,-3.025206345640441,0.0024846355036720613,0.025174714903794762
V_col4_tfidf_MDA,MDA,post_LM,2009,2014,"[0,+1]",excret_01,17241,24,-0.004147247754118771,0.0027990948424207514,-1.481638882422466,0.13843640731511053,0.03170305015953217
V_col4_tfidf_MDA,MDA,post_LM,2009,2014,"[0,+3]",excret_03,17241,24,-0.00489734249162594,0.0028521354970786734,-1.7170791838754118,0.08596470500848419,0.04361261439471023
V_col4_tfidf_MDA,MDA,post_LM,2009,2014,"[0,+5]",excret_05,17241,24,0.0006994885333917299,0.0037927096860493077,0.18442975900967395,0.8536763259080964,0.047437829710705516
V_col4_tfidf_MDA,MDA,algo_era,2015,2019,"[0,+1]",excret_01,13044,20,-0.003862077429133412,0.002796053357467014,-1.3812602748869303,0.16719894784833178,0.06633010002618085
V_col4_tfidf_MDA,MDA,algo_era,2015,2019,"[0,+3]",excret_03,13044,20,-0.0033855233132690215,0.0035175827108379167,-0.9624573440271892,0.3358199203743504,0.07523945645207472
V_col4_tfidf_MDA,MDA,algo_era,2015,2019,"[0,+5]",excret_05,13044,20,-0.0026322786242435753,0.003824627720634393,-0.6882444035120254,0.49129888596653704,0.07564248793928519
